,0
ridge (pp tuned),10.383429922335955
ridge (pp),10.384825832857711
ridge,10.434383863225765
lightgbm-3,10.47332790043362
lightgbm-2,10.485238926940431
catboost-2,10.555027391459404
catboost-1,10.575040956891591
lightgbm-1,10.766785799946081
